"PROVINCIE";"Age";"Male";"Female"
"Groningen (PV)";"16 jaar";"3206";"3084"
"Groningen (PV)";"17 jaar";"3201";"3145"
"Groningen (PV)";"18 jaar";"3817";"4082"
"Groningen (PV)";"19 jaar";"4734";"5048"
"Groningen (PV)";"20 tot 30 jaar";"46124";"44905"
"Groningen (PV)";"30 tot 40 jaar";"33739";"31886"
"Groningen (PV)";"40 tot 50 jaar";"41627";"40106"
"Groningen (PV)";"50 tot 60 jaar";"40121";"39964"
"Groningen (PV)";"60 tot 70 jaar";"36174";"35557"
"Groningen (PV)";"70 tot 80 jaar";"19639";"22274"
"Groningen (PV)";"80 tot 90 jaar";"7930";"13254"
"Groningen (PV)";"90 jaar of ouder";"1083";"3340"
"Friesland (PV)";"16 jaar";"4033";"3973"
"Friesland (PV)";"17 jaar";"4154";"3893"
"Friesland (PV)";"18 jaar";"4053";"3852"
"Friesland (PV)";"19 jaar";"4079";"3626"
"Friesland (PV)";"20 tot 30 jaar";"37400";"34158"
"Friesland (PV)";"30 tot 40 jaar";"36028";"34446"
"Friesland (PV)";"40 tot 50 jaar";"48585";"46911"
"Friesland (PV)";"50 tot 60 jaar";"46080";"45933"
"Friesland (PV)";"60 tot 70 jaar";"42002";"41466"
"Friesland (PV)";"70 tot 80 jaar";"24563";"26868"
"Friesland (PV)";"80 tot 90 jaar";"9332";"15432"
"Friesland (PV)";"90 jaar of ouder";"1217";"3517"
"Drenthe (PV)";"16 jaar";"3138";"2949"
"Drenthe (PV)";"17 jaar";"3131";"2932"
"Drenthe (PV)";"18 jaar";"2875";"2612"
"Drenthe (PV)";"19 jaar";"2644";"2242"
"Drenthe (PV)";"20 tot 30 jaar";"23742";"21789"
"Drenthe (PV)";"30 tot 40 jaar";"25086";"25217"
"Drenthe (PV)";"40 tot 50 jaar";"36826";"37099"
"Drenthe (PV)";"50 tot 60 jaar";"37088";"37087"
"Drenthe (PV)";"60 tot 70 jaar";"33482";"33542"
"Drenthe (PV)";"70 tot 80 jaar";"19772";"22309"
"Drenthe (PV)";"80 tot 90 jaar";"7964";"12782"
"Drenthe (PV)";"90 jaar of ouder";"1009";"2823"
"Overijssel (PV)";"16 jaar";"7158";"6882"
"Overijssel (PV)";"17 jaar";"7114";"6754"
"Overijssel (PV)";"18 jaar";"6971";"6433"
"Overijssel (PV)";"19 jaar";"7151";"6464"
"Overijssel (PV)";"20 tot 30 jaar";"72111";"66332"
"Overijssel (PV)";"30 tot 40 jaar";"68416";"66034"
"Overijssel (PV)";"40 tot 50 jaar";"85446";"82591"
"Overijssel (PV)";"50 tot 60 jaar";"78739";"77150"
"Overijssel (PV)";"60 tot 70 jaar";"66883";"66715"
"Overijssel (PV)";"70 tot 80 jaar";"39140";"44244"
"Overijssel (PV)";"80 tot 90 jaar";"15610";"26228"
"Overijssel (PV)";"90 jaar of ouder";"1689";"5284"
"Flevoland (PV)";"16 jaar";"2802";"2667"
"Flevoland (PV)";"17 jaar";"2771";"2638"
"Flevoland (PV)";"18 jaar";"2731";"2440"
"Flevoland (PV)";"19 jaar";"2884";"2418"
"Flevoland (PV)";"20 tot 30 jaar";"26044";"24945"
"Flevoland (PV)";"30 tot 40 jaar";"25194";"26684"
"Flevoland (PV)";"40 tot 50 jaar";"31394";"31887"
"Flevoland (PV)";"50 tot 60 jaar";"28617";"28616"
"Flevoland (PV)";"60 tot 70 jaar";"20183";"19458"
"Flevoland (PV)";"70 tot 80 jaar";"8683";"9452"
"Flevoland (PV)";"80 tot 90 jaar";"3361";"5084"
"Flevoland (PV)";"90 jaar of ouder";"395";"1023"
"Gelderland (PV)";"16 jaar";"12758";"12159"
"Gelderland (PV)";"17 jaar";"12715";"12045"
"Gelderland (PV)";"18 jaar";"12653";"12247"
"Gelderland (PV)";"19 jaar";"12861";"12528"
"Gelderland (PV)";"20 tot 30 jaar";"119984";"117331"
"Gelderland (PV)";"30 tot 40 jaar";"111808";"112227"
"Gelderland (PV)";"40 tot 50 jaar";"150832";"151226"
"Gelderland (PV)";"50 tot 60 jaar";"146689";"145508"
"Gelderland (PV)";"60 tot 70 jaar";"124895";"127077"
"Gelderland (PV)";"70 tot 80 jaar";"70549";"80918"
"Gelderland (PV)";"80 tot 90 jaar";"28048";"46726"
"Gelderland (PV)";"90 jaar of ouder";"3115";"9937"
"Utrecht (PV)";"16 jaar";"7256";"7058"
"Utrecht (PV)";"17 jaar";"7415";"6885"
"Utrecht (PV)";"18 jaar";"7258";"7417"
"Utrecht (PV)";"19 jaar";"7510";"8404"
"Utrecht (PV)";"20 tot 30 jaar";"81665";"87653"
"Utrecht (PV)";"30 tot 40 jaar";"80248";"82110"
"Utrecht (PV)";"40 tot 50 jaar";"94741";"95232"
"Utrecht (PV)";"50 tot 60 jaar";"83417";"83952"
"Utrecht (PV)";"60 tot 70 jaar";"66135";"68912"
"Utrecht (PV)";"70 tot 80 jaar";"35940";"42347"
"Utrecht (PV)";"80 tot 90 jaar";"14779";"24961"
"Utrecht (PV)";"90 jaar of ouder";"1918";"5828"
"Noord-Holland (PV)";"16 jaar";"15214";"14609"
"Noord-Holland (PV)";"17 jaar";"14908";"14378"
"Noord-Holland (PV)";"18 jaar";"15076";"14697"
"Noord-Holland (PV)";"19 jaar";"15642";"15711"
"Noord-Holland (PV)";"20 tot 30 jaar";"174568";"182699"
"Noord-Holland (PV)";"30 tot 40 jaar";"178472";"182193"
"Noord-Holland (PV)";"40 tot 50 jaar";"211145";"209081"
"Noord-Holland (PV)";"50 tot 60 jaar";"191123";"189331"
"Noord-Holland (PV)";"60 tot 70 jaar";"156670";"160691"
"Noord-Holland (PV)";"70 tot 80 jaar";"86065";"98032"
"Noord-Holland (PV)";"80 tot 90 jaar";"34824";"57262"
"Noord-Holland (PV)";"90 jaar of ouder";"4653";"13709"
"Zuid-Holland (PV)";"16 jaar";"20850";"19919"
"Zuid-Holland (PV)";"17 jaar";"21016";"19571"
"Zuid-Holland (PV)";"18 jaar";"21845";"20460"
"Zuid-Holland (PV)";"19 jaar";"23210";"21596"
"Zuid-Holland (PV)";"20 tot 30 jaar";"239407";"234526"
"Zuid-Holland (PV)";"30 tot 40 jaar";"226437";"229419"
"Zuid-Holland (PV)";"40 tot 50 jaar";"264474";"264245"
"Zuid-Holland (PV)";"50 tot 60 jaar";"243573";"246657"
"Zuid-Holland (PV)";"60 tot 70 jaar";"203061";"207517"
"Zuid-Holland (PV)";"70 tot 80 jaar";"112277";"129397"
"Zuid-Holland (PV)";"80 tot 90 jaar";"47459";"79237"
"Zuid-Holland (PV)";"90 jaar of ouder";"6299";"19245"
"Zeeland (PV)";"16 jaar";"2345";"2347"
"Zeeland (PV)";"17 jaar";"2385";"2235"
"Zeeland (PV)";"18 jaar";"2146";"1945"
"Zeeland (PV)";"19 jaar";"2107";"1899"
"Zeeland (PV)";"20 tot 30 jaar";"20010";"18737"
"Zeeland (PV)";"30 tot 40 jaar";"20300";"19877"
"Zeeland (PV)";"40 tot 50 jaar";"27960";"27744"
"Zeeland (PV)";"50 tot 60 jaar";"27241";"27729"
"Zeeland (PV)";"60 tot 70 jaar";"26269";"26655"
"Zeeland (PV)";"70 tot 80 jaar";"15802";"17133"
"Zeeland (PV)";"80 tot 90 jaar";"6720";"10403"
"Zeeland (PV)";"90 jaar of ouder";"1022";"2794"
"Noord-Brabant (PV)";"16 jaar";"14877";"14420"
"Noord-Brabant (PV)";"17 jaar";"15190";"14192"
"Noord-Brabant (PV)";"18 jaar";"15057";"14206"
"Noord-Brabant (PV)";"19 jaar";"15622";"14363"
"Noord-Brabant (PV)";"20 tot 30 jaar";"153136";"142990"
"Noord-Brabant (PV)";"30 tot 40 jaar";"145416";"142173"
"Noord-Brabant (PV)";"40 tot 50 jaar";"189288";"185991"
"Noord-Brabant (PV)";"50 tot 60 jaar";"182026";"178536"
"Noord-Brabant (PV)";"60 tot 70 jaar";"155827";"153705"
"Noord-Brabant (PV)";"70 tot 80 jaar";"90469";"100245"
"Noord-Brabant (PV)";"80 tot 90 jaar";"34245";"55705"
"Noord-Brabant (PV)";"90 jaar of ouder";"3571";"10652"
"Limburg (PV)";"16 jaar";"6297";"5989"
"Limburg (PV)";"17 jaar";"6357";"6043"
"Limburg (PV)";"18 jaar";"6438";"6185"
"Limburg (PV)";"19 jaar";"6591";"6408"
"Limburg (PV)";"20 tot 30 jaar";"66008";"62823"
"Limburg (PV)";"30 tot 40 jaar";"58340";"56815"
"Limburg (PV)";"40 tot 50 jaar";"81938";"81424"
"Limburg (PV)";"50 tot 60 jaar";"90382";"89017"
"Limburg (PV)";"60 tot 70 jaar";"79453";"77635"
"Limburg (PV)";"70 tot 80 jaar";"47233";"52824"
"Limburg (PV)";"80 tot 90 jaar";"18011";"30041"
"Limburg (PV)";"90 jaar of ouder";"1806";"5762"
